app_name,technology,country,end_date,resolution_date,it_owner,func_area,action_plan
Trade Information Reporting Systems v. 1,".NET Framework v. 3.5, DotNetNuke v. 7.0, Internet Information Services v. 6.0, Microsoft Server v. 2008 R2, Microsoft SQL Server v. 2012",Singapore," 12/7/2011, 27/11/2015, 14/7/2015, 14/1/2020",19-Dec,Kuan Choon Cheit ,,TIRS server will be upgraded to Windows 2016
EMC Extract Monitoring System v. 1,".NET Framework v. 3.5, Internet Information Services v. 6.0, Microsoft Server v. 2008, Microsoft SQL Server v. 2008 R2",Singapore,"7/12/2011, 14/7/2015",19-Dec,Kuan Choon Cheit ,,EMC server will be upgraded to Windows 2016
Electronic Business Transaction v. 1,".NET Framework v. 4.5, Internet Information Services v.10.0, Microsoft Server v. 2016, Microsoft SQL Server v.2016",Singapore,,,,,
Settlement v. 1,".NET Framework v. 3.5, Internet Information Services v. 6.0, Crystal Reports Server 2013 v.14.1, Microsoft Server v. 2008, Microsoft SQL Server v. 2008 R2",Singapore,"7/12/2011,  14/1/2020",31-Dec-19,Kuan Choon Cheit ,,Settlement server will be upgraded to Windows 2016.  Settlement Application is no longer in used. Only the report scripts are still in used.
CSLUCAS v. 1,"IBM HTTP Server v. 8.0, IBM WebSphere Application Server v. 8.0, Java Runtime Environment v. 1.6, IBM Data Server Manager v. 2.1, IBM DB2 Express Edition v.10.5",Singapore,"30/4//2018, 30/4/2018, 01/9/2017",,Kuan Choon Cheit ,,CSLUCAS will be replaced by TMS
Non-Audit Services Report Consolidation v. 1.0,".NET Framework v.4.6, Internet Information Services v. 8.5, Microsoft SQL Server Reporting Services v. 2012, Microsoft Server v. 2012 R2, Microsoft SQL Server v. 2012",Corporate,,,,,
Integrated Waste Information System (IWIS) v. 1,".NET Framework v. 4.6, Internet Information Services v. 8.0, Microsoft Server v. 2012 R2, Microsoft SQL Server v. 2012, Microsoft SQL Server Reporting Services v. 2012",Singapore,,,,,
SAP PM v. SAP ERP 6.0 EhP8,"SAP NetWeaver (ABAP + Java) v. 7.3, SAP NetWeaver (ABAP) v 7.5, SAP Process Integration v. 7.3, SAP Router v. 745, Microsoft Server v. 2008, Micorosoft Server v. 2012 R2, Microsoft SQL Server v. 2008, Microsoft SQL Server v. 2012",Corporate,,,,,
Turbine Data Downloader v. 2.0.0,,Singapore,,,,,
Process History Data v. 1.0,".NET Framework v. 2.0, .NET Framework v. 3.5, .NET Framework v. 4.6, Uniformance Process Studio v. 310.1, Uniformance Process Studio v.310.2, Uniformance Process Studio v.322, Microsoft Azure Service Fabric v. 6.4.6, Internet Information Services v. 7.0,Internet Information Services v. 10.0, KEPServerEx v.6.5, Microsoft Server v. 2008, Microsoft Server v. 2012, Microsoft Server v. 2012 R2, Microsoft Server v. 2016, Microsoft SQL Server v. 2012, Uniformance Process History Database (PHD) v. 320",Singapore," 12/7/2011,  12/7/2011, 14/1/2020, 31/12/2018, 31/12/2018,  01/01/2018",20-Apr,Kuan Choon Cheit ,,Server upgrade in progress
Water Plant Management System v. 1.0,"Windows 7 v. Professional, Microsoft Server v 2012 R2, Microsoft SQL Server v. 2012, Internet Information Services v. 8.5",China,14/1//2020,20-Jul,Dong George,,Planned to replace WPMS with a new historian system which will not contain any expired/expiring component in 2020.
Banyan CCP3 - DCS v. 1.0,,,,,,,
Bayan WWTP - DCS v. NA,,,,,,,
EFW - DCS v. NA,,,,,,,
NCIP Water - DCS v. XDC800,Windows 7 v. Professional,China,14/1//2020,,Dong George,,Xinhua DCS software is still not compatible with Windows 10.   Once Xinhua publishes its new version supporting windows 10 Windows7 professional will be replaced immediately.  
NSS - DCS v. XDC800,Windows 7 v. Professional,China,14/1/2020,,Dong George,,
Sakra Cogen - DCS v. 1.0,,Singapore,,,,,
Sakra Demin - DCS v. NA,,Singapore,,,,,
Sakra ERP - DCS v. 500,,Singapore,,,,,
Sakra IWWT - DCS v. 7,,Singapore,,,,,
Sakra SUT - DCS v. TPS3000,,Singapore,,,,,
Sakra SVC - DCS v. NA,,Singapore,,,,,
Seraya Incineration - DCS v. 6,,Singapore,,,,,
Woodchip boiler - DCS v. NA,,Singapore,,,,,
ZJG - DCS v. 5.3+sp3,"Windows 10, Microsoft Server v. 2012",China,,,,,
Compactor Management Mobile App v. 1,"ASP.NET Core v. 1.0, .NET Framework v. 4.5, Windows 8, Xamarin.Android v. 1.0, Xamarin.iOS v. 1.0",Singapore,27/6/2019,,Kuan Coon Cheit,,To recompile with latest Xamarin version
NPR v. 1.0,,,,,,,
Workforce Management System v. 1.0,".NET Framework v.4.5, Internet Information Services v. 8.5, GoCoder v. 4.7.1, Microsoft Server v. 2012 R2, Microsoft SQL Server v. 2016",Corporate,,,,,
Visitor Management System v. 1,"Microsoft Server v. 2008 R2, Microsoft SQL Server v. 2008 R2, Microsoft Access 2013 v. 15.0",Singapore,14/1/2020,,Kuan Coon Cheit,,Decommission server once Security have moved to new visitor management system.  JI Security is in process of implementing a new system to start in SUT/Cogen at Sakra Ave. They will progressively replace the system. 
Scannell v. 1.0,,UK,,,Siatrak Mateusz,,
AMS Machinery v. 5.7,".NET Framework v. 3.5, AMS Machinery Manager v. 5.7, CSI USB Driver v. 1.0.1.4, Microsoft Report Viewer v. 10.0, Microsoft Server v. 2016",Singapore,12/7/2011,,Kuan Coon Cheit,,
LGAMS v. 10.4.5.1,"Internet Information Services v. 10.0, Microsoft Server v. 2012 R2, Microsoft SQL Server v. 2014",Corporate,,,,,
Virtual Brain Water v. 2.0,"Anjular JS v. 1.0, DBaaS v. 1.0",Corporate,,,,,
Enterprise Architecture Tool v. 1.0,,,,,,,
SAP Ariba v. 14s,,India,,,,,
C2SAPLite v. 1.0,"CuteFTP v. 8.3, Microsoft Server v. 2008 R2, Axway Trusted File v. 3.6.0",Corporate,"5/27/2013, 14/1/2020",,Wong Mel Na,finance,Upgrade completed
"CAPEX Purchase, Fixed Asset Disposal, CAPEX Replacement eform v. 1.0",,,,,,finance,
Cognos Controller v. 10.3.1,"IBM Cognos Configuration v. 11.0, IBM Cognos Controller Configuration, Microsoft Server v. 2016, Microsoft SQL Server v. 2017",Corporate,,,,finance,
Exception Form v. 1.0,,,,,,finance,
Faxmaker v. 16.0,"FaxMaker v.16.0, Fluid Monitor v. 2.1, Microsoft Server v. 2016",Corporate,1/10/2014,,Wong Mel Na,finance,Upgrade completed
Fixed Asset Transfer eform v. 1.0,"K2 Five v. 5.2, Internet Information Services v. 10.0, Microsoft Server v. 2016, Microsoft SQL Server v. 2017",Corporate,,,,finance,
Investment Risk Exposure v. 1.0,"Internet Information Services v. 8.0, .NET Framework v. 3.5 SP1, Microsoft Server v. 2012 R2, Microsoft SQL Reporting Services v. 2012, Microsoft SQL Server v. 2012",Corporate,,,,finance,
Mobile Bills v. 1.0,.NET Framework v. 2.0,uk,12/7/2011,,Siatrak Mateusz,finance,
Non-Audit Services Report Consolidation v. 1.0,,,,,,finance,
Payment Request eform v. 1.0,"K2 Five v. 5.2, Internet Information Services v. 10.0, Microsoft Server v. 2016, Microsoft SQL Server v. 2017",Corporate,,,,finance,
SAP Business Warehouse  Business Planning and Consolidation v. BPC 810 SP7,Microsoft Server v. 2008 R2,Singapore,1/14/2020,,Partha Dutta,finance,Migrating to cloud hosting
SAP FICO v. SAP ERP 6.0 EhP8,"SAP NetWeaver (ABAP + Java) v. 7.3, SAP NetWeaver (ABAP) v 7.5, SAP Process Integration v. 7.3, Solution Manager v. 7.1, SAP Router v. 745, Microsoft Server v. 2008, Micorosoft Server v. 2012 R2, Microsoft SQL Server v. 2008, Microsoft SQL Server v. 2012",Corporate,,,Wong Mel Na,finance,
SAP VIM v. 7.5,"OpenText Imaging Web Viewer v. 10.5, SAP Invoice Capture Center v. 7.5, NetScaler Virtual Applicance v. 450010, Microsoft Server v. 2012 R2, Microsoft SQL Server v. 2012, OpenText Archive Server v. 10.5",Corporate,31/3/2019,Q3 2020,Wong Mel Na,finance,Upgrade project to kick-off in Feb 2020.
Career Centre Admin v. 1.0,".NET Framework v 3.5 SP1, Internet Information Services v. 8.0, Microsoft Server v. 2012 R2, Microsoft SQL Server v. 2012",Corporate,,,,,
Career Centre Internal v. 1.0,".NET Framework v 3.5 SP1, Internet Information Services v. 8.0, Microsoft Server v. 2012 R2, Microsoft SQL Server v. 2012",Corporate,,,,,
Career Centre Public v. 1.0,".NET Framework v 3.5 SP1, Internet Information Services v. 8.0, Microsoft Server v. 2012 R2, Microsoft SQL Server v. 2012",Corporate,,,,,
Employee Common Database v. 1.0,,,,,,,
Employee Share Plans System v. 1.0,".NET Framework v. 2.0, Internet Information Services v. 8.0, Microsoft Server v. 2012 R2, Microsoft SQL Server Reporting Services v. 2012, Microsoft SQL Server v. 2012",Corporate,12/7/2011,,Prasanth Thomas,,It will be retired once the new provider/software is selected 
HR Self-service Kiosk v. 1,".NET Framework v. 4.6, WCF Data Services 5.6.0 Runtime v.5.6.0",Corporate,,,,,
KABA v. 1.0,,China,,,Dong George,,
Performance Share Plans System v. 1.0,".NET Framework v. 2.0, Internet Information Services v. 8.0, Microsoft Server v. 2012 R2, Microsoft SQL Server Reporting Services v. 2012, Microsoft SQL Server v. 2012",Corporate,12/7/2011,,Prasanth Thomas,,It will be retired once the new provider/software is selected 
Resource Tracking System v. 1.0,".NET Framework v.4.6, Internet Information Services v. 8.0, Microsoft SQL Server Reporting Services v. 2012, Microsoft Server v. 2012 R2, Microsoft SQL Server v. 2012",Corporate,,,,,
Restricted  Share Plans System v. 1.0,".NET Framework v. 4.6, Internet Information Services v. 8.0, Microsoft Server v. 2012 R2, Microsoft SQL Server Reporting Services v. 2012, Microsoft SQL Server v. 2012",Corporate,,,,,
SAP HCM v. SAP ERP 6.0 EhP8,"SAP NetWeaver (ABAP + Java) v. 7.3, SAP NetWeaver (ABAP) v 7.5, SAP Process Integration v. 7.3, SAP Router v. 745, Microsoft Server v. 2008, Micorosoft Server v. 2012 R2, Microsoft SQL Server v. 2008, Microsoft SQL Server v. 2012",Corporate,,,Wong Mel Na,,
Scholarship.net v. 1.0,".NET Framework v.4.6, Internet Information Services v. 8.0, Microsoft SQL Server Reporting Services v. 2012, Microsoft Server v. 2012 R2, Microsoft SQL Server v. 2012",Corporate,,,,,
TMS (Time Management System) v. 1,".NET Framework v 4.6, Internet Information Services v. 8.0, Microsoft SQL Server Reporting Services v. 2012, Microsoft Server v. 2012 R2, Microsoft SQL Server v. 2012",Corporate,,,,,
Sembcorp OTUJ - Backend Administrative Portal v. 1.0,".NET Framework v. 4.7, Azure AD Authentication Connected Service v. 14.0, Internet Information Services v. 8.0,  Microsoft Server v. 2016, Microsoft SQL Server v. 2016",Corporate,,,,,
Sembcorp OTUJ v. 1.3,".NET Framework v. 4.7, Google Firebase v. 1.0, Xamarin Forms v. 2016, Azure AD Authentication Connected Service v. 14.0, Internet Information Services v. 8.0, Intune v. 5.0, Microsoft Server v. 2016, Microsoft SQL Server v. 2016",Corporate,,,,,
Time Off eform v. 1.0,"K2 v. 4.7, Internet Information Services v. 8.5, Microsoft Server v. 2012 R2, Microsoft SQL Server v. 2012",Corporate,,,,,
Timesheets v. 1.0,,UK,,,Siatrak Mateusz,,
TMS (Time Management System) v. 1,,,,,,,
SAP ASP v. 1.0,,India,,,,,
SAP GSP v. 1.0,,India,,,,,
Annual Declaration Form v. 1.0,".NET Framework v.4.6, Internet Information Services v. 8.5, Microsoft SQL Server Reporting Services v. 2012, Microsoft Server v. 2012 R2, Microsoft SQL Server v. 2012",Corporate,,,,,
Company Profile and Shareholding Database System v. 1.0,".NET Framework v.4.6, Internet Information Services v. 8.5, Microsoft SQL Server Reporting Services v. 2012, Microsoft Server v. 2012 R2, Microsoft SQL Server v. 2012",Corporate,,,,,
Gift and Entertainment Management v. 1.0,"K2 Five v. 5.2, Internet Information Services v. 10.0, Microsoft Server v. 2016, Microsoft SQL Server v. 2017",Corporate,,,,,
KOLA v. 1.0,"Internet Information Services v. 8.0, Java Runtime Enviroment v. 1.8, Microsoft Server v 2012 R2, Microsoft SQL Server v 2012",Corporate,,,,,
Tableau Reporting Dashboard v. 10.3.2,"Desktop (Tableau Desktop) v. 10.3, Server (Tableau Server) v. 10.3, Microsoft Server v 2012 R2",Corporate,"30/11/2019, 30/11/2019",,Prasanth Thomas,,
Sustainability Data Management System v. 8.4,Enablon Connect v. 8.4,Singapore,,,,,
Enterprise Risk and Control Management System v. 5.X,,,,,,,
Global HSE Information System v. 1.0,".NET Framework v. 4.5, Internet Information Services v. 8.0, Microsoft Server v. 2012 R2, Microsoft SQL Server Reporting Services v. 2012, Microsoft SQL Server v. 2012",Corporate,,,,,
Sembcorp Secure App - Backend Administrative Portal v. 1.0,".NET Framework v. 4.6, Azure AD Authentication Connected Service v. 14.0, Internet Information Services v. 8.0, Microsoft Server v. 2016, Microsoft SQL Server v. 2016",Singapore,,,,,
Sembcorp Secure Mobile App v. 1.3,".NET Framework v. 4.6, Azure AD Authentication Connected Service v. 14.0, Google Firebase v. 1.0, Xamarin Forms v. 2016, Internet Information Services v. 8.0, Intune v. 5.0, Microsoft Server v. 2016, Microsoft SQL Server v. 2016",Singapore,,,,,
SAP ARIBA Strategic sourcing v. 1.0,,,,,,,
PCard v. 1.0,".NET Framework v. 4.5, Internet Information Services v. 8.0, Microsoft Server v. 2012, Microsoft SQL Server v. 2012",UK,,,Siatrak Mateusz,,
SAP MM v. SAP ERP 6.0 EhP8,"SAP NetWeaver (ABAP + Java) v. 7.3, SAP NetWeaver (ABAP) v 7.5, SAP Process Integration v. 7.3, SAP GUI for Windows v. 745, SAP Router v. 745, Microsoft Server v. 2008, Micorosoft Server v. 2012 R2, Microsoft SQL Server v. 2008, Microsoft SQL Server v. 2012",Corporate,,,,,
Jira Software v. 1,,,,,,,
Home v. 1.0,".NET Framework v. 4.5, Internet Information Services v. 8.0, Microsoft Server v. 2012, Microsoft SQL Server v. 2012",UK,,,Siatrak Mateusz,,
Sembcorp Portal v. SharePoint 2013,".NET Framework v. 4.6, Microsoft SharePoint Server v. 2013, Internet Information Services v. 8.0,  Microsoft Server v. 2012 R2, Microsoft SQL Server v. 2014, Office WebApps Server v. 2013",Corporate,,,,,
Board Papers Apps v. 1.0,"Microsoft Sharepoint v. 2013, Pervasent Board Papers v. 2013, Internet Information Services v.8.0, Microsoft Server v. 2012 R2, Microsoft SQL Server v. 2014, Office Web Apps Server v. 2013",Corporate,,,,,
Department Portal (Intranet) v. SharePoint 2013,"Microsoft SharePoint Server v. 2013, Internet Information Services v. 8.0,  Microsoft Server v. 2012 R2, Microsoft SQL Server v. 2014, Office WebApps Server v. 2013",Corporate,,,,,
Department Portal (Online) v. SharePoint Online,Microsoft Sharepoint,Corporate,,,,,
Electronic Document Management System v. 1.0,Windchill v. 10.0,Corporate,,,,,
Home v. 1.0,,,,,,,
Microsoft Stream (Internet-Online) v. Microsoft Stream,Microsoft Stream,Corporate,,,,,
Project Portal (Intranet) v. SharePoint 2013,"Microsoft SharePoint Server v. 2013, Internet Information Services v. 8.0,  Microsoft Server v. 2012 R2, Microsoft SQL Server v. 2014, Office WebApps Server v. 2013",Corporate,,,,,
Project Portal (Online) v. SharePoint Online,Microsoft Sharepoint,Corporate,,,,,
Sembcorp Media Gallery v. SharePoint 2013,Microsoft Sharepoint,Corporate,,,,,
Sembcorp Portal v. SharePoint 2013,,,,,,,
Website Content Management System v. 1.0,,,,,,,
Department Portal (Intranet) v. SharePoint 2013,,,,,,,
Enterprise Video Communications v. 4.4.2,,,,,,,
Slack v. Enterprise Grid,Slack,Corporate,,,,,
ARIS v. 10 Release 8,,,,,,,
SAP Approval Mobile App System - Sembcorp Approval 3.0 v. 2.1,".NET Framework v. 4.6, Xamarin Forms v. 2016, Internet Information Services v. 8.0, Intune v. 5.0, Microsoft Server v. 2016",Corporate,,,,,
"CAPEX Purchase, Fixed Asset Disposal, CAPEX Replacement eform v. 1.0","K2 Five v. 5.2, Internet Information Services v. 10.0, Microsoft Server v. 2016, Microsoft SQL Server v. 2017",Corporate,,,,,
Event Attendance (Power Apps) v. 1.0,"Microsoft PowerApps, Microsoft Server v. 2012 R2, Microsoft SQL Server v. 2012",Corporate,,,,,
Robotic Process Automation v. 1,"Robots - Cash Projection v. 1.0, Robots - DOF Billing 1.0, .NET Framework v. 4.5, UiPath v. 2018.4, Internet Information Services v. 10.0, Microsoft Server v. 2016, Microsoft SQL Server v. 2016",Corporate,,,,,
Dell Boomi,"Dell Boomi API Gateway v. 1.0, Microsoft Server v. 2016 Datacenter",Corporate,,,,,
Workato,Workato On-Prem agent v. 1.1,Corporate,,,,,
Wonderware Historian,,India,,,,,
UMIS 1.0,,UK,,,,,
ETAPRO,,,,,,,
Data Lake,,,,,,,
Citibank File Uploader (External),,,,,,,
Giro,,,,,,,
External - AXS 1.0,,,,,,,
VBR,,,,,,,
Weighbridge Information System,".NET Framework v. 4.5, Internet Information Services v. 7.5 ,Microsoft Server v. 2008 R2, Microsoft SQL Server v. 2008 R2  ",Singapore,"14/1/2020, 14/1/2020",19-Dec,Kuan Choon Cheit ,,Server upgrade (AZSGP-SCUAPP1P) in progress
Storage & Terminalling,".NET Framework v 2.0 Internet Information Services v. 7.5 ,Microsoft Server v. 2008 R2, Microsoft SQL Server v. 2008 R2",Singapore,"12/7/2011, 14/1/2020, 14/1/2020",19-Dec,Kuan Choon Cheit ,,Server upgrade (AZSGP-SCUAPP1P) in progress
Laboratory Information Management System,".NET Framework v. 3.5, Oracle Database v. 11.2.0.3, Business Flex v. 242, Microsoft Server v. 2012 R2",Singapore,"12/7/2011, 27/8/2015",,Kuan Choon Cheit ,,Will be decommissioned and moved to the Virtual Brain project
GEO Information System,".NET Framework v. 4.0, Python v. 2.7, ArcGIS Enterprise v. 10.4, Internet Information Services v. 8.5, Microsoft Server v. 2012 R2, Micorsoft SQL Server v. 2016",Singapore,"1/12/2016, 01/1/2020",,Kuan Choon Cheit ,,Phase 4 in 2020
Incident Management System,".NET Framework v. 4.6, Internet Information Services v. 8.0, Microsoft SQL Server Reporting Services v. 2012, Microsoft Server v. 2012 R2, Microsoft SQL Server v. 2012",Singapore,,,,,
IT Services Management System 1.0,".NET Framework v. 4.6, Internet Information Services v. 8.0, Microsoft SQL Server Reporting Services v. 2012, Microsoft Server v. 2012 R2, Microsoft SQL Server v. 2012",Corporate,,,,,
DataBricks,,,,,,,
Data Warehouse,,,,,,,
Azure AD,,,,,,,
Zoom,,,,,,,
Skype for Business,,,,,,,
Ivanti Endpoint Security,,,,,,,
System Center Configuration Manager,,,,,,,
WhatsUp Gold,,,,,,,
Follow you printing system 5.7.34.3271,Equitrac Express,Corporate,,,,,
vSphere 6.5,,,,,,,
Tableau Server 10.3,,,,,,,
Qradar,,,,,,,
Forcepoint Data Loss Protection (DLP) 8.5.1.66,,,,,,,
Checkpoint Firewall Appliance,,Corporate,,,Raymond Lee,security,
Firemon Security Manager,,Corporate,,,Raymond Lee,security,
Fortigate Firewall Appliance,,Corporate,,,Raymond Lee,security,
Symantec Endpoint Protection,,India,,,Rakesh Chandra,security,
Axway Trusted File,,,,,,,
Arcsight Appliance,,,,,,,
Tenable,,Corporate,,,Raymond Lee,security,
Airwave,,,,,,,
Catalyst Switch,,,,,,,
Cisco Switch,,,,,,,
Nexus Switch,,,,,,,
e-Greeting,".NET Framework v. 4.6, Internet Information Services v. 8.5, Microsoft Server v. 2012 R2, Microsoft SQL Server v. 2012",Corporate,,,,,
Whistle Blowing Portal,".NET Framework v.4.6, Internet Information Services v. 8.0, Microsoft SQL Server Reporting Services v. 2012, Microsoft Server v. 2012 R2, Microsoft SQL Server v. 2012",Corporate,,,,,
Whistle Blowing Case Management,".NET Framework v.4.6, Internet Information Services v. 8.0, Microsoft Server v. 2012 R2, Microsoft SQL Server v. 2012",Corporate,,,,,
SAP Password Reset,".NET Framework v.4.6, Internet Information Services v. 8.5, Microsoft Server v. 2012 R2, Microsoft SQL Server v. 2012",Corporate,,,,,
Customer Management System FTP Server,"Gpg4win v. 3.0, WinSCP v. 5.13, Microsoft Server v. 2016, PuTTY release 0.71",Singpore,,,,,
Power Settlement System,,,,,,,
SUT Billing File,,,,,,,
SP Systems Interfact,,,,,,,
Schneider PACiS SCADA ,".NET Framework v. 2.0, Microsoft Office v. 11.0 ,Microsoft SQL Server v. 2005, MySQL Server v. 5.0, SQLXML v. 4.0, Windows XP v. 5.0  ",India,"7/12/2011, 27/7/2005, 12/4/2016, 31/12/2011, 12/4/2016, 24/4/2014",,,,
Schneider PACiS SCADA OWS,".NET Framework v. 2.0, MySQL Server v. 5.0, SQLXML v. 4.0, Windows XP v. 5.0 ",India,"7/12/2011, 31/12/2011, 12/04/2016, 24/042014",,,,
StruxureWare Power Monitorin,".NET Framework v. 4.0, Microsoft Office v. 11.0, StruxureWare Power Monitoring v. 7.0, Windows 7 v. Professional ",India,"1/12/2016, 27/7/2005, 06/9/2015, 14/1/2020",,,,
ABB 800XA Base,Windows 7 v. Professional,,14/1/2020,,,,
ABB Compact ,"
Microsoft Office v. 2007 , Windows 7 v. Professional ",India,"1/13/2009,  14/1/2020",,,,
ApowerREC,Windows 7 v. Professional,India,14/1/2020,,,,
Archestra,".NET Framework v. 4.0 , Microsoft Server v. 2008 R2 ",India,"1/12/2016,  14/1/2020",,,,
DS control point 7.4,"Microsoft Office v. 2007 ,Windows 7 v. Professional ",India,"1/13/2009,  14/1/2020",,,,
Foxview/ Foxdraw,".NET Framework v. 4.0 , Microsoft Server v. 2008 R2,Windows 7 v. Professional",India,"1/12/2016, 14/1/2020, 14/1/2020",,,,
Honeywell Experion HS ,".NET Framework v. 4.0 , Windows 7 v. Professional",India,"1/12/2016, 14/1/2020",,,,
HUS Suite MS - Honeywell,".NET Framework v. 4.0, Microsoft Enterprise Library v. 2.0 , Windows 7 v. Professional",India,"1/12/2016, 12/4/2016,  14/1/2020",,,,
Proficy HMI SCADA - IfIX,".NET Framework v. 4.0, Windows 7 v. Ultimate , Windows XP v. 5.0",India,"1/12/2016, 14/1/2020, 24/4/2014",,,,
Proficy HMI/SCADACimplicity ,".NET Framework v. 4.0 , Windows 7 v. Professional",India,"1/12/2016, 14/1/2020",,,,
Proficy Machine Edition,Windows 7 v. Professional,India,14/1/2020,,,,
RS Linx classic ,".NET Framework v. 4.0 ,Windows XP v. 5.0",India,"1/12/2016, 24/4/2014",,,,
RS view32 ,".NET Framework v. 4.0, Windows XP v. 5.0",India,"12 /1/2016, 24/4/2014",,,,
Studio 5000 launcher ,".NET Framework v. 4.0 ,Windows 7 v. Professional  ",India,"1/12/2016, 14/1/2020",,,,
Unity Pro XL ,"Microsoft Office Home, Business 2013 v. 15.0, Windows 7 v. Professional",India,"4/14/2015,  14/1/2020",,,,
Vijeo citect 2015,"Microsoft Office Home, Business 2013 v. 15.0, Windows 7 v. Professional",India,"4/14/2015,  14/1/2020",,,,
WinCC OA ,".NET Framework v. 4.0, Windows 7 v. Professional",India," 12/1/2016,  14/1/2020",,,,
Fire Works,Windows 7 v. Professional,India,14/1/2020,,,,
Gravostyle,Windows 7 v. Professional,India,14/1/2020,,,,
Cogenweb,".NET Framework v. 2.0, Internet Information Services v. 7.0, Microsoft Server v. 2008",Singapore,"7/12/2011, 14/1/2020",19-Dec,Kuan Choon Cheit,,Server Upgrade (SCUPAPP1P) in progress
Gasboy Head Office,"Java Runtime Environment v. 10.0, Internet Information Services v. 10.0, Microsoft Server v 2016, Microsoft SQL Server v 2016 ",Singapore,1/9/2018,19-Nov,Kuan Choon Cheit,,To upgrade to latest java version during production server patching
Customer Management System Web,".NET Framework v. 2.0, .NET Framework v. 3.5, Internet Information Services v. 7.5, Microsoft Enterprise Library v. 2.0, Microsoft Server v. 2008 R2  Usage Conversion System v. 1.0, Gpg4Win 3.0, WinSCP v. 5.13, ",Singapore," 12/7/2011, 12/7/2011, 14/1/2020,  12/4/2016, 14/1/2020, 31/12/2017",,Kuan Choon Cheit,,"Modernization of these applications are currently in-progress, pending recommendations by an external system architect, and a subsequent server upgrade. "
